__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726773610.915939,915939421.000000000,1726773610.000000000,4.242183208,1.024068594,4.969069958,0.090946004,-0.059460010,-0.011947000,,,,,,,,,,,,,,,
1726773610.919707,919707013.000000000,1726773610.000000000,4.270391464,1.075625420,4.348128319,0.091559000,-0.057821013,-0.005691005,,,,,,,,,,,,,,,
1726773610.940361,940360661.000000000,1726773610.000000000,4.284460545,0.896065712,5.757293701,0.087296993,-0.057945006,-0.007437995,,,,,,,,,,,,,,,
1726773610.945557,945556624.000000000,1726773610.000000000,4.278141975,0.976849556,5.922079086,0.086748980,-0.057220004,-0.010080000,,,,,,,,,,,,,,,
1726773610.950855,950855421.000000000,1726773610.000000000,4.431838036,0.935100079,5.806915760,0.083517998,-0.058340006,-0.008378999,,,,,,,,,,,,,,,
1726773610.973772,973772124.000000000,1726773610.000000000,4.381415367,0.926013708,6.099176884,0.082400993,-0.054362006,-0.009464007,,,,,,,,,,,,,,,
1726773610.977992,977992235.000000000,1726773610.000000000,4.318903446,0.951416969,5.860165596,0.080957994,-0.051468007,-0.008617003,,,,,,,,,,,,,,,
1726773610.981601,981600995.000000000,1726773610.000000000,4.345045090,0.958441496,5.995438576,0.079110980,-0.050187003,-0.009184998,,,,,,,,,,,,,,,
1726773611.002823,2822735.000000000,1726773611.000000000,4.430566311,1.025136471,6.183120728,0.079721987,-0.051850006,-0.009221008,,,,,,,,,,,,,,,
1726773611.006779,6778902.000000000,1726773611.000000000,4.430711269,1.094332933,5.715331078,0.081473000,-0.050792001,-0.008461006,,,,,,,,,,,,,,,
1726773611.010252,10251791.000000000,1726773611.000000000,4.441957474,0.944939852,6.091716290,0.078130975,-0.050635010,-0.004572004,,,,,,,,,,,,,,,
1726773611.035776,35776402.000000000,1726773611.000000000,4.502025604,0.946049929,6.217543125,0.077813998,-0.051634006,-0.005619006,,,,,,,,,,,,,,,
1726773611.042735,42734847.000000000,1726773611.000000000,4.573776245,1.035763979,5.744927883,0.080584005,-0.052743003,-0.005527006,,,,,,,,,,,,,,,
1726773611.045448,45447717.000000000,1726773611.000000000,4.687419415,0.823333979,6.121826172,0.075809993,-0.055059008,-0.006944004,,,,,,,,,,,,,,,
1726773611.064793,64793291.000000000,1726773611.000000000,4.622357368,0.941924810,5.933765411,0.077957004,-0.054958005,-0.010707002,,,,,,,,,,,,,,,
1726773611.068832,68832254.000000000,1726773611.000000000,4.490019321,0.944581985,5.969326496,0.077679008,-0.052154005,-0.012788005,,,,,,,,,,,,,,,
1726773611.072940,72940439.000000000,1726773611.000000000,4.561100483,1.013091087,6.004225254,0.078117996,-0.053316005,-0.017778005,,,,,,,,,,,,,,,
1726773611.095764,95764458.000000000,1726773611.000000000,4.400217533,1.081006765,6.103175640,0.079506978,-0.050217006,-0.027750008,,,,,,,,,,,,,,,
1726773611.099597,99596476.000000000,1726773611.000000000,4.354390144,1.053701401,5.926094532,0.077719994,-0.047977004,-0.033064008,,,,,,,,,,,,,,,
1726773611.103163,103162717.000000000,1726773611.000000000,4.386904716,1.188059092,6.214041233,0.078944996,-0.047149003,-0.034847006,,,,,,,,,,,,,,,
1726773611.127182,127181717.000000000,1726773611.000000000,4.325492382,1.190265417,6.210086823,0.074466974,-0.041247003,-0.036306009,,,,,,,,,,,,,,,
1726773611.131819,131818921.000000000,1726773611.000000000,4.208610535,1.225077629,5.757733822,0.073442005,-0.034703005,-0.032851003,,,,,,,,,,,,,,,
1726773611.136363,136362735.000000000,1726773611.000000000,4.225979328,1.072868347,6.242870331,0.066861980,-0.031610005,-0.022694001,,,,,,,,,,,,,,,
1726773611.159865,159865124.000000000,1726773611.000000000,4.130338669,1.067851067,6.252058506,0.065212980,-0.027745007,-0.017247003,,,,,,,,,,,,,,,
1726773611.163873,163872828.000000000,1726773611.000000000,4.063725471,1.142909050,5.978011131,0.065357998,-0.024843000,-0.012957007,,,,,,,,,,,,,,,
1726773611.167657,167657439.000000000,1726773611.000000000,4.101896286,1.207227230,5.975979805,0.066815987,-0.024770001,-0.007121999,,,,,,,,,,,,,,,
1726773611.188816,188815772.000000000,1726773611.000000000,4.113455296,1.203038931,6.260944366,0.065822989,-0.024197007,-0.005463993,,,,,,,,,,,,,,,
