__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726770451.934392,934392563.000000000,1726770451.000000000,4.455985546,1.657925606,5.853485107,0.100006998,-0.074775010,-0.021097001,,,,,,,,,,,,,,,
1726770451.938696,938695878.000000000,1726770451.000000000,4.316882133,1.677923918,5.866376877,0.098599985,-0.070474006,-0.024745997,,,,,,,,,,,,,,,
1726770451.956070,956070396.000000000,1726770451.000000000,4.343838215,1.658947706,6.205833435,0.098491997,-0.071921006,-0.023245005,,,,,,,,,,,,,,,
1726770451.960331,960330822.000000000,1726770451.000000000,4.446115494,1.673500776,6.013911247,0.099543989,-0.073606014,-0.019935004,,,,,,,,,,,,,,,
1726770451.963556,963556081.000000000,1726770451.000000000,4.399844170,1.778063297,5.607567310,0.101903990,-0.072476014,-0.020051003,,,,,,,,,,,,,,,
1726770451.988892,988891581.000000000,1726770451.000000000,4.336018562,1.657771587,6.173851490,0.098751999,-0.071404010,-0.021006001,,,,,,,,,,,,,,,
1726770451.995868,995868063.000000000,1726770451.000000000,4.404960632,1.694730759,5.921120167,0.099819988,-0.073236004,-0.022502001,,,,,,,,,,,,,,,
1726770451.999188,999187600.000000000,1726770451.000000000,4.514039516,1.597323656,6.233606339,0.097589001,-0.075084008,-0.021166002,,,,,,,,,,,,,,,
1726770452.017848,17848526.000000000,1726770452.000000000,4.479666233,1.748650789,6.295545578,0.100944996,-0.074246004,-0.024261005,,,,,,,,,,,,,,,
1726770452.022443,22442933.000000000,1726770452.000000000,4.473693371,1.575687408,6.198208809,0.099166997,-0.074333012,-0.025406005,,,,,,,,,,,,,,,
