__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726768804.919747,919746915.000000000,1726768804.000000000,4.648595333,1.362637758,7.210346222,0.110776991,-0.080962002,-0.053645000,,,,,,,,,,,,,,,
1726768804.923233,923232878.000000000,1726768804.000000000,4.487474442,1.465070486,7.337226868,0.112295985,-0.078233019,-0.053352010,,,,,,,,,,,,,,,
1726768804.947020,947019970.000000000,1726768804.000000000,4.647173405,1.433565378,7.184305191,0.111007988,-0.079986006,-0.052981008,,,,,,,,,,,,,,,
1726768804.953574,953573767.000000000,1726768804.000000000,4.578743458,1.434145093,7.210175991,0.112302005,-0.079771005,-0.054167006,,,,,,,,,,,,,,,
1726768804.956289,956289100.000000000,1726768804.000000000,4.613956451,1.445232272,7.336247921,0.111339010,-0.080914006,-0.051809013,,,,,,,,,,,,,,,
1726768804.973791,973791322.000000000,1726768804.000000000,4.616574287,1.282606602,7.495175838,0.108219013,-0.080392011,-0.052849002,,,,,,,,,,,,,,,
1726768804.978441,978441452.000000000,1726768804.000000000,4.621199608,1.396006107,7.461470127,0.111233994,-0.080036007,-0.053002007,,,,,,,,,,,,,,,
1726768804.983223,983222822.000000000,1726768804.000000000,4.571979523,1.532841444,7.086813450,0.113671005,-0.079286002,-0.052965999,,,,,,,,,,,,,,,
1726768805.007320,7320415.000000000,1726768805.000000000,4.564483166,1.393838406,7.461318016,0.111213997,-0.079442009,-0.053694010,,,,,,,,,,,,,,,
1726768805.011532,11531952.000000000,1726768805.000000000,4.534334183,1.346590757,7.244771481,0.110306010,-0.078349009,-0.053491004,,,,,,,,,,,,,,,
1726768805.015376,15375804.000000000,1726768805.000000000,4.622446060,1.418856859,7.120989799,0.110643998,-0.080224007,-0.053149007,,,,,,,,,,,,,,,
1726768805.036742,36742563.000000000,1726768805.000000000,4.650771141,1.397082090,7.459168911,0.111267999,-0.081266008,-0.052315008,,,,,,,,,,,,,,,
1726768805.042882,42882433.000000000,1726768805.000000000,4.551757336,1.474506140,7.151270866,0.111737996,-0.079456002,-0.052993007,,,,,,,,,,,,,,,
1726768805.046455,46454970.000000000,1726768805.000000000,4.579165459,1.376563430,7.463994026,0.110249005,-0.079099007,-0.051647011,,,,,,,,,,,,,,,
1726768805.067849,67848933.000000000,1726768805.000000000,4.553285122,1.404425621,7.398578167,0.111117005,-0.079810008,-0.053695008,,,,,,,,,,,,,,,
1726768805.072519,72519211.000000000,1726768805.000000000,4.588207722,1.488422036,7.461804867,0.112232015,-0.080574006,-0.055087004,,,,,,,,,,,,,,,
1726768805.075727,75726841.000000000,1726768805.000000000,4.570985317,1.401587248,7.369367123,0.111330986,-0.078645006,-0.052479010,,,,,,,,,,,,,,,
1726768805.098861,98861248.000000000,1726768805.000000000,4.580648422,1.489533186,7.340101719,0.111781001,-0.079629011,-0.054050006,,,,,,,,,,,,,,,
1726768805.103625,103624785.000000000,1726768805.000000000,4.648534298,1.426618218,7.178751945,0.111740008,-0.081429012,-0.054508004,,,,,,,,,,,,,,,
1726768805.107023,107023081.000000000,1726768805.000000000,4.577183247,1.407422423,7.496623039,0.111050002,-0.078147009,-0.051989008,,,,,,,,,,,,,,,
1726768805.129814,129813600.000000000,1726768805.000000000,4.553695679,1.407187223,7.400637150,0.111124992,-0.078889005,-0.053008005,,,,,,,,,,,,,,,
1726768805.134467,134467007.000000000,1726768805.000000000,4.564969540,1.525630474,6.959715843,0.113936007,-0.079778001,-0.053970002,,,,,,,,,,,,,,,
1726768805.138008,138008137.000000000,1726768805.000000000,4.676546097,1.400972962,7.462898254,0.110521980,-0.081035011,-0.051643007,,,,,,,,,,,,,,,
1726768805.160849,160849174.000000000,1726768805.000000000,4.587561607,1.391311169,7.555245399,0.111131012,-0.079621010,-0.053362001,,,,,,,,,,,,,,,
1726768805.164972,164971859.000000000,1726768805.000000000,4.573821545,1.396921039,7.271716118,0.111376002,-0.080593005,-0.054867007,,,,,,,,,,,,,,,
1726768805.168754,168754100.000000000,1726768805.000000000,4.508013248,1.497578263,7.464899540,0.112298004,-0.077871010,-0.052181005,,,,,,,,,,,,,,,
1726768805.191271,191270989.000000000,1726768805.000000000,4.600165367,1.336292505,7.526087284,0.109284997,-0.080200009,-0.053543005,,,,,,,,,,,,,,,
1726768805.196514,196514452.000000000,1726768805.000000000,4.515280724,1.434465170,7.088161945,0.111846998,-0.078238003,-0.053307999,,,,,,,,,,,,,,,
1726768805.201610,201610044.000000000,1726768805.000000000,4.569738388,1.382967472,7.397760391,0.110891998,-0.079989009,-0.052488007,,,,,,,,,,,,,,,
1726768805.224892,224891767.000000000,1726768805.000000000,4.480831146,1.460993171,7.341674805,0.111460000,-0.077675015,-0.055596013,,,,,,,,,,,,,,,
1726768805.229099,229098711.000000000,1726768805.000000000,4.489908695,1.355245590,7.277865410,0.110114008,-0.077381007,-0.053165000,,,,,,,,,,,,,,,
1726768805.232126,232126433.000000000,1726768805.000000000,4.539958477,1.452810884,7.371642590,0.111113004,-0.078716010,-0.052170008,,,,,,,,,,,,,,,
1726768805.252774,252774470.000000000,1726768805.000000000,4.583547115,1.428298354,7.369000912,0.110874020,-0.080107011,-0.051818013,,,,,,,,,,,,,,,
1726768805.257109,257109137.000000000,1726768805.000000000,4.538088799,1.344148397,7.368227005,0.109977014,-0.079681009,-0.055403013,,,,,,,,,,,,,,,
